@relation 'home0_510-weka.filters.unsupervised.attribute.Remove-R1-2,4-8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R10-12,14-15-weka.filters.unsupervised.attribute.Remove-R12-13-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9'

@attribute price numeric
@attribute totalbedrooms numeric
@attribute bathrooms numeric
@attribute BuildingType {'Row / Townhouse',Apartment,House,'Mobile Home',Duplex}
@attribute storeys numeric
@attribute landSize {'under 1/2 acre','1/2 - 1 acre','1 - 3 acres','3 - 10 acres',Unknown,'10 - 49 acres','100+ acres','50 - 100 acres'}
@attribute Builtin numeric
@attribute totalFinishedArea numeric
@attribute po3 {B2W,B0P,B4A,B0J,B2H,B3N,B3Z,B3R,B3G,B4V,B3A,B0S,B0E,B4C,B4N,B3H,B2R,B3K,B3P,B2X,B2T,B4E,B3M,B2V,B0N,B2G,B0K,B0M,B4P,B0T,B0R,B9A,B4B,B2Y,A1A,B3V,B4G,B2N,B3T,B2S,B3E,B3L,B2Z,B6L,B0H,B4R,B3W,B3J}

@data
119000,3,1,'Mobile Home',1,Unknown,1997,896,B4E
1330000,4,4,House,2,'under 1/2 acre',?,3700,B3H
329900,1,1,Apartment,1,'under 1/2 acre',2008,720,B3K
519900,4,3,House,2,'under 1/2 acre',1987,2644,B4A
369900,3,2,House,1,'under 1/2 acre',2007,1428,B4C
429000,5,3,House,2,'under 1/2 acre',1988,2786,B4E
359900,3,2,House,1,'under 1/2 acre',1980,1900,B0J
219900,4,2,House,2,'under 1/2 acre',1942,2076,B4N
179900,2,1,House,1,'3 - 10 acres',1970,800,B0N
279900,4,2,House,1,'under 1/2 acre',2002,1360,B2V
199900,2,1,House,1,'1 - 3 acres',1989,784,B0J
149900,2,1,House,1,'under 1/2 acre',?,704,B0N
209900,2,1,House,1,'under 1/2 acre',?,1134,B0K
239900,4,1,House,1,'1/2 - 1 acre',2006,2003,B0J
349900,5,2,House,2,'3 - 10 acres',1998,2466,B0J
379900,4,2,House,2,'1 - 3 acres',2004,1998,B0J
149500,2,1,House,1,'under 1/2 acre',1964,595,B2N
199900,2,2,'Mobile Home',1,?,2008,1152,B4V
649000,3,1,House,2,'1 - 3 acres',1872,1700,B0J
375000,4,2,House,1,'under 1/2 acre',1973,1219,B2V
449000,4,3,House,2,'under 1/2 acre',?,1532,B3R
299900,3,2,House,2,'under 1/2 acre',1976,1445,B2V
634900,4,4,'Row / Townhouse',3,'under 1/2 acre',2019,2475,B3M
659000,4,4,House,2,'under 1/2 acre',2021,2748,B3R
118000,2,1,House,1,'under 1/2 acre',?,564,B6L
259900,3,2,House,2,'under 1/2 acre',?,1416,B2N
425000,3,3,House,2,'under 1/2 acre',2000,1689,B4E
584900,2,2,Apartment,1,?,2007,1580,B4A
254900,2,1,House,1,'under 1/2 acre',2020,884,B2N
749900,2,3,'Row / Townhouse',2,'under 1/2 acre',2021,1141,B3H
2599000,5,4,House,2,'1/2 - 1 acre',2012,7317,B6L
189000,6,2,House,2,'under 1/2 acre',?,1250,B0E
299900,2,1,House,1,'1 - 3 acres',1988,1008,B0N
399900,3,1,House,1,'under 1/2 acre',2003,1744,B4C
235000,2,1,House,2,'1 - 3 acres',1952,1448,B4N
287500,2,2,House,1,'3 - 10 acres',?,1320,B0P
880000,2,2,House,1,'under 1/2 acre',1950,1971,B2X
399900,4,2,House,1,'under 1/2 acre',2001,2113,B3G
329900,3,2,House,2,'under 1/2 acre',1950,1424,B3T
239900,3,2,House,1,'1 - 3 acres',1975,2461,B0M
359000,3,1,House,2,'under 1/2 acre',1902,1344,B0J
299500,3,2,House,1,'under 1/2 acre',1969,1600,B2W
999999,3,1,House,1,'10 - 49 acres',2005,1000,B4P
2395000,3,5,House,2,'under 1/2 acre',1955,3839,B3H
649900,4,4,House,3,'under 1/2 acre',2021,2546,B3N
299900,3,2,'Row / Townhouse',2,'under 1/2 acre',1980,1798,B3M
759000,4,3,House,1,'100+ acres',1988,2840,B0K
240000,4,1,House,2,'1/2 - 1 acre',?,1368,B0M
399900,3,2,House,1,'under 1/2 acre',?,1560,B0N
850000,8,4,House,1,'under 1/2 acre',2017,4600,B0P
689900,3,2,House,1,'3 - 10 acres',2008,2073,B4P
237500,2,1,House,1,'under 1/2 acre',1972,1081,B2N
385000,4,3,House,1,'under 1/2 acre',?,2700,B0P
349000,3,2,House,1,'1 - 3 acres',1996,1838,B0P
224900,2,1,Apartment,1,?,1976,748,B3A
194900,3,2,House,2,'under 1/2 acre',?,1522,B0K
429900,6,3,House,2,'under 1/2 acre',2005,2250,B3R
299900,2,1,House,1,'under 1/2 acre',1969,790,B3R
750000,3,3,House,1,'1/2 - 1 acre',2021,1704,B4R
459900,3,2,House,1,'under 1/2 acre',?,1330,B0N
